id,name,brand,category,size,color,status,main_image_filename,main_image_file_id,source_image_count,source_image_file_ids,source_folder_url,instagram_status,notes
MD-0011,Nike New Orleans Saints Dri-FIT polo shirt,Nike,Polo Shirt,3XL,Black,Photo Complete,IMG_4588-Photoroom.jpg,1vSrRSdyXvoVuFa2ykY7m5Eh7nGXjCMo9,5,1vSrRSdyXvoVuFa2ykY7m5Eh7nGXjCMo9;1rOLLKsE_2taNyPW66TIOqSvqidY4hU-H;1SZIF7dws0mNEpy4gvBjVtK7fwDRALjg7;1rucx8B41OLSZHomG2vjIFvK0bkoFs3LH;1zF2uhwC6cWEwVjzNQZn6QGbHA9q1sENo,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4588–4593 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0012,Free Fly black quarter-zip pullover,Free Fly,Quarter-Zip Pullover,Verify size — supplied labels vary,Black,Photo Complete,IMG_4700-Photoroom.jpg,1JvWICXFnC6GmmAI0p9IOQI4mlFQne6Gj,20,1JvWICXFnC6GmmAI0p9IOQI4mlFQne6Gj;16xEcLUemhvlphY0C5oNu8PFBPV4DEZho;1AzVrUoqzvzg_7I3a94ldjHmAwtK0aRfU;1trgdHGEwtN_65sQ3rdlep5eI6dCQEkk9;1YaZkIsEnGSJk43T_bhK1q3rf7NA47n5B;12gkMbWQ3nkCVDcuHYunLpq7DoLZO6pS7;10pbPGYiRPOAtdiWlGTkojlqY-M1v-1sH;1FOJba75HQRw2D_6XPk7s0zrO-LbTIIz_;1CQA6eR9K67EKdKxbcOa1ww8Dhu62HtJH;1TU3tiwlq86rU6vaYRPew-8LAI19Y3aHj;13aj9d1TWLzx1eUgeboYeahdySNekxJhE;13iV8M-0aZwEOo8RRyr1mMihAwfGX34y_;1oIsxK4UPmw-_I4qC5B1YeitYrj-T4jRu;1w73KprNA_wpifSoRh--S9sp7u0liNlGT;1RQJIFKus8mWpnG1wJeupiU88Zxj1lgFX;1ElxD5vjQyf-8ex3uHQApmETCyUtuJMDh;11wquiW-361QBnxlPRJDz1q9xMVXA3Vlu;1KxXk58U7Hw1cnc1rtnglVuPikckDhtXl;1rHpZREDIICFHohMapLdIzXZdHsBN6Qor;1PYftqDnWKMQhX3CxvtCpeJ1xgqquRdGP,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4700–4719 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0013,Nike Phantom black and neon soccer cleats,Nike,Soccer Cleats,Unknown,Black / neon yellow-green,Photo Complete,IMG_4720-Photoroom.jpg,1wYxLGttn229xb56CFUU7k8pAie7z5i2x,18,1wYxLGttn229xb56CFUU7k8pAie7z5i2x;1imvDlG838DbDPSepPmdFYVn8EIwIRFW0;16qNIYjUJd0MShvPAy7Za0ByPhtDi0bj-;1H71t0n9B30e0y0nNwJ8YAv0rqe3AvnZh;1P3c3ULDPUqSLAOC56Sfm80OJP7ZCEBgo;1R9JEfygmBoeJUmYDS8diRduPAt48y3v8;1iaxmfs6n4zbguqb7RBkmkrQNuZuYBAu3;1yMkdX7XMf9Aw6Xnt1zIw0mQUYTSFiE4a;1Ci700pFI8UxtZnczmg_CC6iUZedxTPHo;1iWg6XQVoahz2XNLgyCUM_llvnI6yOG-Z;1D6TH5UYjrTDOTkUxtPSDEm8Cyh6FKU8t;1o2SlK_hkZRRoK4jcC2wB-tXv7Kg57tA8;1ODZ0rgwBr9PS4pLulrPoU6cPDCqCrKJU;1I37Pcx7HjpmK83Ojlqnbr_JlFYompVQJ;1Gw9RwjN6UQeMs1gOuZCHD2qbhtyUGNu1;1_KMuffxTsGBzhsx5Q8sVG4BwPsJhw_58;1ZA3u2Mmx1SRHW2JDE-FZOAUj3I4B7CRD;107XL9miZxVGX__RzPYQzF7m8u9Mzaay-,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4720–4737 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0014,Nike pink and black soccer cleats,Nike,Soccer Cleats,Unknown,Pink / black,Photo Complete,IMG_4754-Photoroom.jpg,1bxQr7Gl7UCrWaMito68LFd2OBm69Xv6k,10,1bxQr7Gl7UCrWaMito68LFd2OBm69Xv6k;1l57pvlyHwsn0KanEhDvtzlL-e4D8KPXI;1zZtamaBKeTzDW1HEFDhmF3QmSvjG9O6G;1vJN9SAOcmNArsof6qmPmMtwR-zLAENO3;1ocEkgyXl5qAejGtEleZzymxjFsLyaeby;18h__Tj_IHCLCi7KmEQC5Qe-Wq8w7MFvJ;12hEO5LNi84NboU5YAW2VJG0YKzftRp4X;1FpspySJ17XF73FaaWZfuA0_fi_2uKED7;1CZOuC5WkvEJory2OzFFfXYfmpg1a8QQs;1hoEQXCPEH-kGOcmPPxtuiWQtHTLeFzZK,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4754–4763 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0015,Kuhl gray-blue plaid short-sleeve button-down,Kuhl,Short-Sleeve Button-Down Shirt,XL,Gray / blue plaid,Photo Complete,IMG_4845-Photoroom.jpg,1nt1Dk8AGjWa1bE6Wtqqjasm2GPnIHk79,6,1nt1Dk8AGjWa1bE6Wtqqjasm2GPnIHk79;1-4Z94_G0zvXRi6ZIUX8wyF6TYkdfHMc0;1cCDkj46ViUNnG6cni7t1I0FPnV3PlWsu;1sAF_Txx-b07oH1NJ9oY1CldO1QoQijQy;1bjMZd3MLiMvdWjeXsPfvs_yqFWwkDpgh;1NXW2WbWSAY47MINtbTdQOAilAU-jG3rs,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4845–4850 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0016,Nike Arkansas maroon short-sleeve T-shirt,Nike,T-Shirt,M,Maroon,Photo Complete,IMG_4851-Photoroom.jpg,1bgZHrclJHm3-aQbWrOkEvVqX1vNU1umL,6,1bgZHrclJHm3-aQbWrOkEvVqX1vNU1umL;1qTku0v1ziCZgALxRyGNbTljlZv6eVtEW;10olW-JqeVbxIdNYKTYGSVMv_uqgQUKdc;1xlolD4UnRYt_fFNVY8hv5XqaI77mZ08o;1g04P1hkjR6KGyQOMsEWFL2ayGSimdDH_;1MMJJ4CqJDlNEBWde8kyOOeUw94rFN1FW,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4851–4856 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0017,Marvel Venom black graphic T-shirt,Marvel,Graphic T-Shirt,L,Black,Photo Complete,IMG_4857-Photoroom.jpg,1RoMy8rP9pe9zmUuvEfaLES9PHFxbdAiA,7,1RoMy8rP9pe9zmUuvEfaLES9PHFxbdAiA;1lFbpI9n5cpD_jVGelGoUkPS9xe1iLe__;1anYQHJ1ClJVBMdlzZbiL0z3ZNYL5i-Tr;10obV0oS07jyT-cogm8Nu7G8rJU1Gsr1k;12oUXAVDKLAIfhbEt6XTzCVl-DFYQgLC3;1pDqG8VYh8WY2B7q4urWxVgnQ0MQWDdrn;1Kha4GRN3jjRiCVgPBF8s03lGwvwiwhIt,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4857–4863 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0018,Nike blue Dri-FIT short-sleeve T-shirt,Nike,Dri-FIT T-Shirt,M,Blue,Photo Complete,IMG_4864-Photoroom.jpg,1WsrCKkt3R6MCsV89yKBpYq6vdo4T-nu5,7,1WsrCKkt3R6MCsV89yKBpYq6vdo4T-nu5;1x5zy6GJNyZjeMuWAFVIL5fdhdXOzbEpd;1EWa_GtKBb3XJitQPf6ONZ9DdLriv3ez4;1Nb_HsJdYwgoXVo4kuBmUQJ5loM_ktDyU;1Eu1fo15Ze--OlAU8_bVdeES5cBlNKdbM;16U3GXU2pBxsYxzAgazl5LCzc6jJRDrPM;175PrteOleW1VDG_r5IWYbF3qlsU_J0Rq,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4864–4870 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0019,Marvel black tie-dye graphic T-shirt,Marvel,Graphic T-Shirt,S,Black / multicolor,Photo Complete,IMG_4871-Photoroom.jpg,14gcsY4mEaksHhZbKfdq8-EQWtimiSLpM,5,14gcsY4mEaksHhZbKfdq8-EQWtimiSLpM;1D3oFWd5Yb-j4l00bzXUB_cmlTzJGuw4N;11-Mlk2awjE-J062PIXalDaRdar-PouAP;1ZQ6IlHF2OqgLkZFcNWsV9JO_88N3MPRe;1x3lxmbPaFcEl_5MzfR7eB67HL0RLwN1A,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4871–4875 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0020,adidas Golf olive short-sleeve T-shirt,adidas,T-Shirt,M,Olive green,Photo Complete,IMG_4876-Photoroom.jpg,1w8d2TA40G4gw1kvbW1zh87426PWW0xro,5,1w8d2TA40G4gw1kvbW1zh87426PWW0xro;1Oc9eEfR-vxB18deIonkn3vycMwgVpqZk;1QJjThr8AT-LapQGuQ4nkf0YHOEtPhUhS;15u1ZeEQIJ6F23vOAYM9M7R3zjSE0LpdB;1fA6Jx-4S83J6JhrLFp8LcevUVkiPGT4F,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4876–4880 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0021,Nike dark teal athletic T-shirt,Nike,Athletic T-Shirt,Unknown,Dark teal,Photo Complete,IMG_4881-Photoroom.jpg,1zNuiFwKMiO4MwFbBVQ9q3Ar1W0lxwOmI,4,1zNuiFwKMiO4MwFbBVQ9q3Ar1W0lxwOmI;1VzIdPoFOadNL7d8KPQv6V0MUkBqYD1df;1cFloDiVVnxTURLQAptp9zBCWQyY5SZ6d;1lEAKQXSA9j1VJ-uo0WLhGimFAjQkEyxd,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 4881–4884 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0022,St. John's Bay charcoal-gray fleece quarter-zip pullover,St. John's Bay,Fleece Quarter-Zip Pullover,Verify size — supplied labels conflict,Charcoal gray,Photo Complete,IMG_5067-Photoroom.jpg,1zQZ6yD7OLDvqyEQVLtEzgXTS29wpW8my,7,1zQZ6yD7OLDvqyEQVLtEzgXTS29wpW8my;1j1yKjbSx8tgEMBVjgUJcC4VsxSKnfd1i;1EfRjw4XEAXzQ5VgQvxyNVjo9w8R9Xn_Q;1Zt0Infn5s-Stry8RbTJDF5Z0KYbn3a4v;1P2RZBLLkc34-x6dqs5mfrOuJjpaCqJ_x;1OvmcqfKMeGnVIoycy2lfoBcukc6PCsz4;15mY7QhZQg-roodF-sCKJ-1ezC7m_8cXn,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 5067–5073 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0023,Daniel Cremieux brown cable-knit crewneck sweater,Daniel Cremieux,Cable-Knit Sweater,XL,Brown,Photo Complete,IMG_5074-Photoroom.jpg,1IyT2ZpR7lkGeH1G6x3cUk9t-xZ3cjO7M,11,1IyT2ZpR7lkGeH1G6x3cUk9t-xZ3cjO7M;1fkwgwL-iKnVeABait9SFnMTQBfRaTzRD;1DvIefmMHRw3c45JSNdCqdZ0q2OcYkKXP;1h9vP338tqut7Vzyce1T6wHxUWCE8j8sK;17WmtiIf4z5ruSBNjuxdIWt_vq4BgelT1;18y6-HvYBjEcRWXxON-y2gLe4CEmXxdmt;1jamka3kZRVAtQnc05TgsnJwwHJC_QlN4;1rtYyODGUxXOEiB85mcDnqTKmlh_RyFK_;1GaZn07wpCy1QRTbP_HTsuuE5bozdiI-8;10bVUk8WE04vnhcVagCbQEnwYeSA136Xo;1apxgQK7e8A9_k90VHWdtHfqgB2iktjcf,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 5074–5084 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0024,Levi's dark-gray five-pocket jeans,Levi's,Jeans,Unknown,Dark gray,Photo Complete,IMG_5085-Photoroom.jpg,1xGP7Rbp3jEPfHmVnWJ1ej6T2j9ZplfNH,9,1xGP7Rbp3jEPfHmVnWJ1ej6T2j9ZplfNH;1_eAkuPLUfk9NSCM_GWUOpKXoLwmnNJ6q;1TWhTJjEEgrMePJz5LHHLH-UNHkR2IrSK;1n6CXfLQxpU6peO2qobPQ2j4DWIH-M6wP;1-BsIAIYkpveLgp2MXXtj2xFnAJ2nlX_j;1JOdOpcYzC12IUQHJqIrhDMU6h5ENZ8wN;1HrJmBFuvhp22AHj32lH8elwXLKdVg6m6;1tAzcs5kS3765Loa25IF_cbC1Rt9WgpTW;1Iv_T9nAMMhqAQUsSH_4i99t4CcdKZLHK,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 5085–5094 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0025,Eddie Bauer black performance pants,Eddie Bauer,Performance Pants,Unknown,Black,Photo Complete,IMG_5095-Photoroom.jpg,1SsEUw4qRIEQ1OhFKRQU-0uHtGtMziABH,6,1SsEUw4qRIEQ1OhFKRQU-0uHtGtMziABH;1Jzz58UN-0UsUaJddveI0oz4Z6Q9sj0YX;122k2zQu6QkkCWTeB1KHfsMD0LMncN7nT;1mY4RXEzHPTAjTR3hSt-HZ32BAGdZ9pbJ;1ZjuNV484ahko11B0MiiLZ-fWV6oacODj;1yrauO0upzJ2IUeHDvYY6XrVpcmmcF21z,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 5095–5100 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
MD-0026,Under Armour navy quarter-zip performance top,Under Armour,Quarter-Zip Performance Top,L,Navy blue,Photo Complete,IMG_5102-Photoroom.jpg,1gS4utaAO5TDDYyQbXlSRBtQU9bKnGmkg,11,1gS4utaAO5TDDYyQbXlSRBtQU9bKnGmkg;13GDZI7DxsnswaG4fFf87GA5Y3FYb8UPa;1fABp8HcDIwU5QObnTE77EhCdQF94PqtT;14DA7Ckc_pV1v7Lm13GKEtiop_6Of8EJm;1N-H5JKJL5tKEnkJafgVoPuaSZAxGuOKO;1Ueo3kbf6Eo6X6c2M1RNAtivd3mY2Lx9l;14yHKu3FKdi-46E8k-nd8IQhNXYvJDMtH;1GFj0_D6JxRfYEFAhx2d2HxmWKYE9_OCW;1O6-YErg8pXJS6RLRuygbV-PnluswfZn3;1h_VKJigMUrzvyChsqRG2bOB87OsUCvXG;1XSWLvcV7QXItdlSc3KNFZCFTvy9YU-1t,https://drive.google.com/drive/folders/1i0iepaWtxeM-AtND6O0o282b-KZcUtDC,Not planned,"Magicdeals Wholesale Outlet intake. Source photos 5102–5112 are grouped as one physical item. Original source images and their Drive IDs are retained for condition, label, and measurement verification. No price, condition grade, or unverified measurements are asserted."
