#INFO,Version=0.0.2,Template= eBay-draft-listings-template_US,,,,,,,,
#INFO Action and Category ID are required fields. 1) Set Action to Draft 2) Please find the category ID for your listing here: https://pages.ebay.com/sellerinformation/news/categorychanges.html,,,,,,,,,,
"#INFO After you've successfully uploaded your draft from the Seller Hub Reports page, complete your drafts to active listings here: https://www.ebay.com/sh/lst/drafts",,,,,,,,,,
Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),Custom label (SKU),Category ID,Title,UPC,Price,Quantity,Item photo URL,Condition ID,Description,Format
Draft,A1-MD-0011,57990,Dockers Men's Short Sleeve Button-Down Shirt M Navy 100% Cotton,,12.00,1,,USED_EXCELLENT,"Dockers men's size M dark navy short-sleeve button-down shirt in 100% cotton with a button-down collar, gold-tone buttons, chest pocket, and embroidered wing logo. Good pre-owned condition with possible light seam and collar fading.<br><ul><li>Brand: Dockers</li><li>Size: M</li><li>Color: Dark navy</li><li>Material: 100% cotton</li><li>Pattern: Solid</li><li>Style: Short sleeves; button-down collar; gold-tone buttons; chest pocket with embroidered wing logo; curved hem</li><li>Condition: Good pre-owned; final inspection required</li></ul><br><p>Condition notes: Light fading or wear may be present around seams and collar. No obvious holes or major stains visible in supplied images; verify buttons, underarms, collar, and hem before listing.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0012,57990,Stitch Beachwear Men's Hawaiian Shirt L Tropical Tiki Monstera Cotton,,18.00,1,,USED_EXCELLENT,"Stitch Beachwear men's size L 100% cotton tropical button-down shirt with navy, turquoise, and mustard monstera leaves and tiki motifs. Good pre-owned condition; inspect collar, underarms, buttons, and hem.<br><ul><li>Brand: Stitch Beachwear</li><li>Size: L</li><li>Color: Cream / navy blue / turquoise / mustard</li><li>Material: 100% cotton</li><li>Pattern: Tropical monstera leaf and tiki print</li><li>Style: Short sleeves; pointed collar; button-front closure; bold all-over tropical print; curved hem</li><li>Condition: Good pre-owned; final inspection required</li></ul><br><p>Condition notes: No obvious tears or major stains visible in supplied images. Inspect collar, buttons, underarms, side seams, and hem before listing.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0013,185100,Callaway Golf Men's Polo Shirt L White Cotton Logo Stained AS IS,,8.00,1,,USED_GOOD,"Callaway Golf Sport men's size L white 100% combed-cotton polo with sleeve logo, rear-neck chevron, and side vents. Fair condition with visible staining and discoloration near the lower front and back hems; sold as-is.<br><ul><li>Brand: Callaway Golf</li><li>Size: L</li><li>Color: White / off-white</li><li>Material: 100% combed cotton</li><li>Pattern: Solid pique knit</li><li>Style: Short sleeves; two-button placket; embroidered sleeve logo; embroidered back-neck chevron; side hem vents</li><li>Condition: Fair / Stained</li></ul><br><p>Condition notes: Visible discoloration and staining near the lower front hem and lower back hem, plus smaller surface marks. Defects must be photographed and disclosed.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0014,185100,Under Armour HeatGear U Golf Men's Polo XL White Gray Striped,,22.00,1,,USED_EXCELLENT,"Under Armour HeatGear men's size XL loose-fit golf polo with white and light-gray color blocking, horizontal stripes, black UA logo, and embroidered U Golf logo. Good pre-owned condition; verify the team or school identity and inspect for snags.<br><ul><li>Brand: Under Armour</li><li>Size: XL</li><li>Color: White / light gray with green and yellow logo</li><li>Pattern: Color-blocked with horizontal stripes</li><li>Style: Short sleeves; collared neckline; button placket; Loose fit; HeatGear; black UA chest logo; embroidered U Golf logo; striped lower front; solid back</li><li>Condition: Good pre-owned; final inspection required</li></ul><br><p>Condition notes: No obvious holes or major stains visible in supplied images. Verify team or school identity, fabric content, collar wear, snags, and deodorant marks before listing.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0015,57990,Abercrombie & Fitch Men's Super Slim Floral Shirt S Stretch Short Sleeve,,18.00,1,,USED_EXCELLENT,"Abercrombie & Fitch men's size S Super Slim stretch short-sleeve button-up in a dark floral print with red, cream, and muted accents. Good pre-owned condition; inspect buttons, collar, underarms, and fabric.<br><ul><li>Brand: Abercrombie & Fitch</li><li>Size: S</li><li>Color: Dark navy / charcoal with red, cream, and muted floral print</li><li>Pattern: Ditsy floral</li><li>Style: Short sleeves; button-front closure; spread collar; Super Slim fit; stretch construction; curved hem</li><li>Condition: Good pre-owned; final inspection required</li></ul><br><p>Condition notes: No obvious holes or major stains visible in supplied images. Inspect buttons, collar, underarms, side seams, and stretch fabric before listing.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0016,57990,Wrangler Authentic Series 75 Men's Plaid Short Sleeve Shirt,,12.00,1,,USED_EXCELLENT,"Wrangler Authentic Series 75 men's plaid short-sleeve button-down with a pointed collar, chest pocket, and lightweight woven construction. Size, material, and country are unconfirmed; good pre-owned condition with light wear and wrinkling.<br><ul><li>Brand: Wrangler</li><li>Color: Cream / light khaki with muted blue and red</li><li>Pattern: Plaid</li><li>Style: Short sleeves; pointed collar; button-front closure; single chest pocket; Wrangler Authentic Series 75 label; lightweight woven construction</li><li>Condition: Good pre-owned; final inspection required</li></ul><br><p>Condition notes: Visible wrinkling and light general wear. No obvious holes, tears, or major stains visible in the supplied front, back, and label images. Size, fabric content, and country must be verified before listing.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0017,185100,Mercedes by Carol Men's Black Tonal Stripe Polo Shirt L Vintage Style,,12.00,1,,USED_EXCELLENT,"Mercedes by Carol men's size L black polo with subtle tonal vertical stripes, four-button placket, chest pocket, and side vents. Good pre-owned condition with light lint and wear; this is not confirmed as Mercedes-Benz merchandise.<br><ul><li>Brand: Mercedes by Carol</li><li>Size: L</li><li>Color: Black</li><li>Material: 60% cotton / 40% polyester</li><li>Pattern: Solid with subtle tonal vertical stripes</li><li>Style: Short sleeves; collared neckline; four-button placket; single chest pocket; side hem vents; soft knit construction; vintage-style woven label</li><li>Condition: Good pre-owned; final inspection required</li></ul><br><p>Condition notes: Light lint and normal surface wear are visible. No obvious holes, tears, or major stains are visible in the supplied images. This label is not confirmed to be associated with Mercedes-Benz automobiles and must not be marketed as Mercedes-Benz merchandise.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0018,57990,Van Heusen Wrinkle Free Men's Plaid Short Sleeve Button-Down Shirt,,11.00,1,,USED_EXCELLENT,"Van Heusen Wrinkle Free men's cream plaid short-sleeve button-down with blue and red checks, chest pocket, and rear box pleat. Size, exact fabric percentages, and country are unconfirmed; good pre-owned condition with light wear.<br><ul><li>Brand: Van Heusen</li><li>Color: Cream / off-white with blue and red lines</li><li>Material: Cotton / polyester blend; exact percentages not confirmed</li><li>Pattern: Windowpane plaid / check</li><li>Style: Short sleeves; pointed collar; button-front closure; single chest pocket; rear center box pleat; Wrinkle Free line; lightweight woven construction</li><li>Condition: Good pre-owned; final inspection required</li></ul><br><p>Condition notes: Visible wrinkling and light general wear. No obvious holes, tears, or major stains visible in the supplied images. Verify size, fabric percentages, country, buttons, underarms, collar, and hem before listing.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0019,15687,Nautica Men's Nautical Signal Flag Graphic T-Shirt XXL Blue Front Back,,10.00,1,,USED_EXCELLENT,"Nautica men's XXL royal-blue 100% cotton graphic T-shirt with a small signal-flag chest design and large nautical flag artwork on the back. Good pre-owned condition with visible cracking and wear to the graphics and printed neck label.<br><ul><li>Brand: Nautica</li><li>Size: XXL / 2XL</li><li>Color: Royal blue</li><li>Material: 100% cotton</li><li>Pattern: Solid with nautical signal-flag graphics</li><li>Style: Short sleeves; crew neck; small Nautica signal-flags chest graphic; large nautical signal-flags back graphic; tagless printed label; regular fit</li><li>Condition: Good pre-owned with graphic wear; final inspection required</li></ul><br><p>Condition notes: Light cracking and wear are visible in the printed neck label and graphics, with minor surface marks or lint. No obvious holes, tears, or major stains visible in supplied images. Photograph the graphics clearly and inspect underarms and hem before listing.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0020,185100,Daniel Cremieux Signature Men's Polo Shirt L Coral 100% Cotton,,15.00,1,,USED_EXCELLENT,"Daniel Cremieux Signature Collection men's size L coral-salmon polo in 100% cotton with a ribbed collar, two-button placket, and side vents. Good pre-owned condition with light wear and wrinkling.<br><ul><li>Brand: Daniel Cremieux Signature Collection</li><li>Size: L</li><li>Color: Coral / salmon</li><li>Material: 100% cotton</li><li>Pattern: Solid pique knit</li><li>Style: Short sleeves; ribbed polo collar; two-button placket; side hem vents</li><li>Condition: Good pre-owned; final inspection required</li></ul><br><p>Condition notes: Visible wrinkling and light wear. No obvious holes, tears, or major stains visible. Inspect collar, underarms, placket, side vents, and hem before listing.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0021,53159,American Eagle Women's Ahh-Mazingly Soft Plaid Flannel Shirt S Green,,12.00,1,,USED_EXCELLENT,"American Eagle Outfitters women's size S Ahh-Mazingly Soft slim-fit flannel in dark green, navy, cream, and mustard plaid with two button-flap chest pockets. Good pre-owned condition with light wear and wrinkling; material remains unconfirmed.<br><ul><li>Brand: American Eagle Outfitters</li><li>Size: S</li><li>Color: Dark green, navy/black, cream, and mustard yellow</li><li>Pattern: Tartan plaid with herringbone accent weave</li><li>Style: Long sleeves; pointed collar; full button front; two button-flap chest pockets; curved shirttail hem; soft flannel construction; Slim Fit / Ahh-Mazingly Soft line</li><li>Condition: Good pre-owned; final inspection required</li></ul><br><p>Condition notes: Full front and back photos now supplied. Visible wrinkling and light general wear; no obvious holes, tears, missing buttons, or major stains visible. Department appears to be women's based on the line and two-pocket cut; verify measurements before listing. Material remains unconfirmed until the care tag is photographed.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0022,63866,Paper Crane Women's Ribbed Cropped Cardigan Tank Set M Rust Orange,,18.00,1,,USED_EXCELLENT,"Paper Crane women's size M rust-burnt-orange ribbed twinset featuring a cropped long-sleeve V-neck button cardigan with a matching fitted camisole or tank. Good pre-owned condition with light wrinkling; verify both pieces are included and confirm material before publishing.<br><ul><li>Brand: Paper Crane</li><li>Size: M</li><li>Color: Rust / burnt orange / terracotta</li><li>Pattern: Solid ribbed knit</li><li>Style: Long sleeves; deep V neckline; four-button front; cropped hem; matching ribbed camisole or tank appears included; fitted stretch silhouette</li><li>Condition: Good pre-owned; final inspection required</li></ul><br><p>Condition notes: No obvious holes, tears, or major stains visible in the supplied photos. Light wrinkling is present. Verify the matching camisole is a separate included piece, photograph both pieces individually, and confirm the material and care tag before listing.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0023,57991,IZOD Men's New England Oxford Striped Short Sleeve Shirt 18.5 Large,,12.00,1,,USED_EXCELLENT,"IZOD men's New England Oxford short-sleeve button-down in size 18 1/2 Large with light-blue and white vertical stripes, chest pocket, Easy Care construction, and a cotton-polyester blend. Good pre-owned condition with light wrinkling; inspect collar, underarms, buttons, and hem.<br><ul><li>Brand: IZOD</li><li>Size: 18 1/2 / L</li><li>Color: Light blue and white</li><li>Material: 74% cotton / 26% polyester</li><li>Pattern: Vertical stripes</li><li>Style: Short sleeves; pointed collar; button-front closure; single chest pocket; rear center box pleat; Easy Care; New England Oxford line</li><li>Condition: Good pre-owned; final inspection required</li></ul><br><p>Condition notes: Visible wrinkling and light general wear. No obvious holes, tears, or major stains visible in the supplied images. Inspect the collar for yellowing, underarms, buttons, pocket, seams, and hem before listing.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0024,57991,Tommy Hilfiger Men's Custom Fit Plaid Shirt L 16.5-17 Navy Long Sleeve,,12.00,1,,USED_EXCELLENT,"Tommy Hilfiger men's L 16.5-17 Custom Fit long-sleeve button-down in navy windowpane plaid with light-blue and red lines, button-down collar, chest pocket, and embroidered flag. Good pre-owned condition with light wear and wrinkling; material remains unconfirmed.<br><ul><li>Brand: Tommy Hilfiger</li><li>Size: L / 16 1/2-17</li><li>Color: Navy with light blue and red</li><li>Pattern: Windowpane plaid / check</li><li>Style: Long sleeves; button-down collar; full button front; single chest pocket with flag logo; curved shirttail hem; Custom Fit; 80s 2-ply fabric label</li><li>Condition: Good pre-owned; final inspection required</li></ul><br><p>Condition notes: Visible wrinkling and light general wear. No obvious holes, tears, missing buttons, or major stains visible in supplied photos. Approximate photographed measurements appear near 21-22 in pit to pit, 30 in length, and 25-26 in sleeve; verify before listing. Confirm material from care tag.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0025,155183,Under Armour Men's XL ColdGear Loose Quarter Zip Pullover Heather Teal,,20.00,1,,USED_EXCELLENT,"Under Armour men's XL ColdGear Loose quarter-zip pullover in a heathered blue-gray teal color with black trim, chest logo, mock neck, and brushed interior. Good pre-owned condition; inspect zipper, cuffs, underarms, hem, and fleece before publishing.<br><ul><li>Brand: Under Armour</li><li>Size: XL</li><li>Color: Heathered blue-gray / teal with black trim</li><li>Pattern: Heathered solid</li><li>Style: Long sleeves; quarter-zip front; mock neck; black Under Armour chest logo; black trim at collar, cuffs, and hem; brushed ColdGear interior; Loose fit</li><li>Condition: Good pre-owned; final inspection required</li></ul><br><p>Condition notes: No obvious holes, tears, major stains, or logo damage visible in supplied photos. Light general wear and surface wrinkling may be present. Inspect zipper, cuffs, underarms, hem, fleece interior, and logo before listing. Confirm fabric percentages from the care tag.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0026,57990,J.Crew Men's L Red Blue Gingham Cotton Long Sleeve Button Down Shirt,,14.00,1,,USED_EXCELLENT,"J.Crew men's size L long-sleeve button-down in red, bright-blue, and burgundy gingham check. Made from 100% cotton in Mauritius with a button-down collar, chest pocket, button cuffs, and curved hem. Good pre-owned condition with light wear and wrinkling.<br><ul><li>Brand: J.Crew</li><li>Size: L</li><li>Color: Red, bright blue, and burgundy</li><li>Material: 100% cotton</li><li>Pattern: Gingham check</li><li>Style: Long sleeves; button-down collar; full button front; chest pocket; button cuffs; curved shirttail hem</li><li>Condition: Good pre-owned; final inspection required</li></ul><br><p>Condition notes: Visible wrinkling and light general wear. No obvious holes, tears, missing buttons, or major stains visible. Verify measurements, cuffs, collar, underarms, pocket, seams, and hem before listing.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0027,53159,Under Armour Women's White Orange Mesh Racerback Athletic Tank Top,,10.00,1,,USED_EXCELLENT,"Under Armour women's white and light-gray mesh racerback athletic tank with a bright-orange horizontal colorblock panel and logo at the upper back. Good pre-owned condition; size, fabric, technology line, and country must be confirmed before publishing.<br><ul><li>Brand: Under Armour</li><li>Color: White / light gray with bright orange colorblock</li><li>Pattern: Heathered mesh stripe with colorblock panel</li><li>Style: Sleeveless; scoop neckline; racerback; Under Armour logo at upper back; breathable semi-sheer mesh construction; bright orange horizontal colorblock panel</li><li>Condition: Good pre-owned; final inspection required</li></ul><br><p>Condition notes: No obvious holes, tears, or major stains visible. Inspect for marks, snags, pilling, stretching, underarm wear, and discoloration. Size, material, technology line, and country remain unconfirmed until the care tag is photographed.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0028,53159,Ariat Women's M Coral Desert Agave Graphic T-Shirt Western Ranchwear,,13.00,1,,USED_EXCELLENT,"Ariat women's size M coral-salmon short-sleeve graphic T-shirt featuring a distressed desert landscape with sun, layered hills, agave plant, and ARIAT wordmark. Made in El Salvador. Good pre-owned condition with visible graphic wear and light general wear.<br><ul><li>Brand: Ariat</li><li>Size: M</li><li>Color: Coral / salmon / peach</li><li>Material: Cotton / polyester blend; exact percentages not confirmed</li><li>Pattern: Desert landscape and agave graphic</li><li>Style: Short sleeves; crew neck; large front desert landscape graphic with sun, layered hills, agave plant, and ARIAT wordmark; fitted women's silhouette; tagless printed label</li><li>Condition: Good pre-owned with graphic wear; final inspection required</li></ul><br><p>Condition notes: Visible fading and cracking within the distressed front graphic, plus light general wear and wrinkling. A small dark surface mark may be present near the neckline. No obvious holes or major stains visible. Inspect collar, underarms, graphic, seams, and hem before listing.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0029,15687,Under Armour Superman Men's M HeatGear Loose Navy Graphic T-Shirt,,20.00,1,,USED_EXCELLENT,"Under Armour men's size M HeatGear Loose short-sleeve shirt in navy blue featuring a large Superman S-shield graphic and red Under Armour sleeve logo. Made in Indonesia. Good pre-owned condition with visible graphic fading, light lint, and general wear.<br><ul><li>Brand: Under Armour</li><li>Size: M</li><li>Color: Navy blue with red, yellow, and gray</li><li>Pattern: Superman shield graphic</li><li>Style: Short sleeves; crew neck; raglan shoulder seams; large Superman S-shield front graphic; red Under Armour sleeve logo; HeatGear; Loose fit; tagless printed label</li><li>Condition: Good pre-owned with graphic wear; final inspection required</li></ul><br><p>Condition notes: Visible fading and wear within the large front Superman graphic, plus light lint and general wear. No obvious holes, tears, or major stains visible. Inspect collar, underarms, seams, hem, front graphic, and sleeve logo before listing.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0030,53159,St John's Bay Women's L Purple Embroidered Cotton Peasant Blouse Boho,,9.00,1,,USED_EXCELLENT,"St. John's Bay women's size L deep-purple crinkle cotton peasant blouse with pink, white, and yellow floral embroidery, split neckline, braided tie, and relaxed silhouette. Made from 100% cotton in Bangladesh. Good pre-owned condition.<br><ul><li>Brand: St. John's Bay</li><li>Size: L</li><li>Color: Deep purple / plum with pink, white, and yellow embroidery</li><li>Material: 100% cotton excluding decoration</li><li>Pattern: Floral embroidery</li><li>Style: Short sleeves; split neckline; braided tie front; floral embroidery across chest and shoulders; crinkle gauze texture; relaxed peasant silhouette</li><li>Condition: Good pre-owned; final inspection required</li></ul><br><p>Condition notes: Crinkle texture and light general wear are visible. No obvious holes, tears, or major stains visible. Inspect embroidery, neckline ties, underarms, sleeve hems, side seams, and lower hem before listing.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A1-MD-0032,15687,Adidas Men's M AEROREADY Gray 3-Stripes Short Sleeve Athletic Shirt,,13.00,1,,USED_EXCELLENT,"Adidas men's size M heather-charcoal AEROREADY short-sleeve athletic shirt with white 3-Stripes across the shoulders and sleeves, black chest logo, crew neck, and lightweight performance construction. Good pre-owned condition.<br><ul><li>Brand: Adidas</li><li>Size: M</li><li>Color: Heather charcoal gray with white stripes and black logo</li><li>Pattern: Heathered solid with 3-Stripes</li><li>Style: Short sleeves; crew neck; white 3-Stripes along shoulders and sleeves; black Adidas chest logo; AEROREADY; lightweight athletic construction; mesh interior panel</li><li>Condition: Good pre-owned; final inspection required</li></ul><br><p>Condition notes: No obvious holes, tears, major stains, or logo damage visible. Light general wear and wrinkling may be present. Inspect collar, shoulder stripes, underarms, seams, hem, chest logo, and interior before listing. Confirm material and country from the care tag.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A2-MD-0033,11554,Judy Blue Womens 9/29 Light Wash Distressed Ripped Skinny Jeans Raw Hem,,23.00,1,,USED_EXCELLENT,"Judy Blue women's size 9/29 light-wash skinny jeans featuring heavy front distressing, ripped details, five-pocket styling, button-and-zip closure, branded back waistband patch, and raw unfinished hems. Good pre-owned condition with intentional distressing and normal wash fading; verify measurements, fabric content, rise, inseam, and style number before publishing.<br><ul><li>Brand: Judy Blue</li><li>Size: 9/29</li><li>Color: Light blue</li><li>Pattern: Distressed / ripped</li><li>Style: Five-pocket design; button and zip closure; skinny/tapered leg; heavy front distressing; raw unfinished hems; branded back waistband patch</li><li>Condition: Good pre-owned; final inspection required</li></ul><br><p>Condition notes: Visible intentional distressing and ripped areas throughout the front legs, plus raw hems and normal light-wash fading. No obvious major stains or damage beyond the designed distressing visible in supplied photos. Verify stretch, rise, inseam, fabric content, style number, and all measurements before listing.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
Draft,A2-MD-0034,185100,Royal Blue Short Sleeve Polo Shirt Solid Casual Golf Performance Style,,8.00,1,,USED_EXCELLENT,"Royal-blue solid short-sleeve polo shirt with a ribbed collar, straight hem, and smooth knit or performance-style fabric. Brand, size, material, country, front details, and measurements are not confirmed. Back appears clean in the supplied photo; complete inspection required before publishing.<br><ul><li>Color: Royal blue / cobalt blue</li><li>Pattern: Solid</li><li>Style: Short sleeves; ribbed polo collar; straight hem; smooth knit or performance-style fabric; front, placket, chest logo, and branding not visible in supplied photo</li><li>Condition: Pre-owned; final inspection required</li></ul><br><p>Condition notes: Back view only. No obvious holes, tears, or major stains are visible on the photographed back. Inspect the front, placket, collar, underarms, sleeves, hem, seams, fabric for snags or pulls, and all branding before listing. Confirm size, material, country, fit, and measurements.</p><br><p>Sourced and inspected by EHC. Ships fast from a smoke-free space.</p>",FixedPrice
