Title,SKU,Brand,Size,Color,Condition,Category,Department,Price,Quantity,Description,Current Status,Target Platforms
Mercedes by Carol black tonal-striped short-sleeve polo shirt Size L,A1-MD-0017,Mercedes by Carol,L,Black,Pre-owned,Polo Shirt,Men's Tops,12,1,"Mercedes by Carol black tonal-striped short-sleeve polo shirt Size L

Brand: Mercedes by Carol
Department: Men's Tops
Category: Polo Shirt
Size: L
Color: Black
Pattern: Solid with subtle tonal vertical stripes
Condition: Good pre-owned; final inspection required

SKU A1-MD-0017 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Van Heusen Wrinkle Free plaid short-sleeve button-down shirt,A1-MD-0018,Van Heusen,,Cream / off-white with blue and red lines,Pre-owned,Casual Button-Down Shirt,Men's Tops,11,1,"Van Heusen Wrinkle Free plaid short-sleeve button-down shirt

Brand: Van Heusen
Department: Men's Tops
Category: Casual Button-Down Shirt
Size: See measurements in photos
Color: Cream / off-white with blue and red lines
Pattern: Windowpane plaid / check
Condition: Good pre-owned; final inspection required

SKU A1-MD-0018 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Nautica nautical signal-flags front-and-back graphic T-shirt Size XXL / 2XL,A1-MD-0019,Nautica,XXL / 2XL,Royal blue,Pre-owned,Graphic T-Shirt,Men's Tops,10,1,"Nautica nautical signal-flags front-and-back graphic T-shirt Size XXL / 2XL

Brand: Nautica
Department: Men's Tops
Category: Graphic T-Shirt
Size: XXL / 2XL
Color: Royal blue
Pattern: Solid with nautical signal-flag graphics
Condition: Good pre-owned with graphic wear; final inspection required

SKU A1-MD-0019 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Daniel Cremieux Signature Collection coral short-sleeve polo Size L,A1-MD-0020,Daniel Cremieux Signature Collection,L,Coral / salmon,Pre-owned,Golf Polo Shirt,Men's Tops,15,1,"Daniel Cremieux Signature Collection coral short-sleeve polo Size L

Brand: Daniel Cremieux Signature Collection
Department: Men's Tops
Category: Golf Polo Shirt
Size: L
Color: Coral / salmon
Pattern: Solid pique knit
Condition: Good pre-owned; final inspection required

SKU A1-MD-0020 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
American Eagle Outfitters Ahh-Mazingly Soft slim-fit green plaid flannel shirt,A1-MD-0021,American Eagle Outfitters,S,"Dark green, navy/black, cream, and mustard yellow",Pre-owned,Flannel Button-Down Shirt,Women's Tops,12,1,"American Eagle Outfitters Ahh-Mazingly Soft slim-fit green plaid flannel shirt

Brand: American Eagle Outfitters
Department: Women's Tops
Category: Flannel Button-Down Shirt
Size: S
Color: Dark green, navy/black, cream, and mustard yellow
Pattern: Tartan plaid with herringbone accent weave
Condition: Good pre-owned; final inspection required

SKU A1-MD-0021 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Paper Crane ribbed cropped cardigan and camisole twinset Size M,A1-MD-0022,Paper Crane,M,Rust / burnt orange / terracotta,Pre-owned,Cardigan & Tank Top Set / Twinset,Women's Tops,18,1,"Paper Crane ribbed cropped cardigan and camisole twinset Size M

Brand: Paper Crane
Department: Women's Tops
Category: Cardigan & Tank Top Set / Twinset
Size: M
Color: Rust / burnt orange / terracotta
Pattern: Solid ribbed knit
Condition: Good pre-owned; final inspection required

SKU A1-MD-0022 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
IZOD New England Oxford striped short-sleeve button-down shirt Size 18 1/2 / L,A1-MD-0023,IZOD,18 1/2 / L,Light blue and white,Pre-owned,Casual / Dress Button-Down Shirt,Men's Tops,12,1,"IZOD New England Oxford striped short-sleeve button-down shirt Size 18 1/2 / L

Brand: IZOD
Department: Men's Tops
Category: Casual / Dress Button-Down Shirt
Size: 18 1/2 / L
Color: Light blue and white
Pattern: Vertical stripes
Condition: Good pre-owned; final inspection required

SKU A1-MD-0023 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Tommy Hilfiger Custom Fit windowpane plaid long-sleeve button-down shirt Size L,A1-MD-0024,Tommy Hilfiger,L / 16 1/2-17,Navy with light blue and red,Pre-owned,Casual / Dress Button-Down Shirt,Men's Tops,12,1,"Tommy Hilfiger Custom Fit windowpane plaid long-sleeve button-down shirt Size L

Brand: Tommy Hilfiger
Department: Men's Tops
Category: Casual / Dress Button-Down Shirt
Size: L / 16 1/2-17
Color: Navy with light blue and red
Pattern: Windowpane plaid / check
Condition: Good pre-owned; final inspection required

SKU A1-MD-0024 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Under Armour ColdGear heather quarter-zip fleece pullover Size XL,A1-MD-0025,Under Armour,XL,Heathered blue-gray / teal with black trim,Pre-owned,Athletic Quarter-Zip Pullover,Men's Tops,20,1,"Under Armour ColdGear heather quarter-zip fleece pullover Size XL

Brand: Under Armour
Department: Men's Tops
Category: Athletic Quarter-Zip Pullover
Size: XL
Color: Heathered blue-gray / teal with black trim
Pattern: Heathered solid
Condition: Good pre-owned; final inspection required

SKU A1-MD-0025 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
J.Crew red and blue gingham long-sleeve button-down shirt Size L,A1-MD-0026,J.Crew,L,"Red, bright blue, and burgundy",Pre-owned,Casual Button-Down Shirt,Men's Tops,14,1,"J.Crew red and blue gingham long-sleeve button-down shirt Size L

Brand: J.Crew
Department: Men's Tops
Category: Casual Button-Down Shirt
Size: L
Color: Red, bright blue, and burgundy
Pattern: Gingham check
Condition: Good pre-owned; final inspection required

SKU A1-MD-0026 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Under Armour white gray and orange mesh racerback athletic tank top,A1-MD-0027,Under Armour,,White / light gray with bright orange colorblock,Pre-owned,Athletic Racerback Tank Top,Women's Tops,10,1,"Under Armour white gray and orange mesh racerback athletic tank top

Brand: Under Armour
Department: Women's Tops
Category: Athletic Racerback Tank Top
Size: See measurements in photos
Color: White / light gray with bright orange colorblock
Pattern: Heathered mesh stripe with colorblock panel
Condition: Good pre-owned; final inspection required

SKU A1-MD-0027 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Ariat coral desert landscape agave graphic short-sleeve T-shirt Size M,A1-MD-0028,Ariat,M,Coral / salmon / peach,Pre-owned,Graphic T-Shirt,Women's Tops,13,1,"Ariat coral desert landscape agave graphic short-sleeve T-shirt Size M

Brand: Ariat
Department: Women's Tops
Category: Graphic T-Shirt
Size: M
Color: Coral / salmon / peach
Pattern: Desert landscape and agave graphic
Condition: Good pre-owned with graphic wear; final inspection required

SKU A1-MD-0028 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Under Armour HeatGear Alter Ego Superman loose-fit graphic T-shirt Size M,A1-MD-0029,Under Armour,M,"Navy blue with red, yellow, and gray",Pre-owned,Athletic Graphic T-Shirt,Men's Tops,20,1,"Under Armour HeatGear Alter Ego Superman loose-fit graphic T-shirt Size M

Brand: Under Armour
Department: Men's Tops
Category: Athletic Graphic T-Shirt
Size: M
Color: Navy blue with red, yellow, and gray
Pattern: Superman shield graphic
Condition: Good pre-owned with graphic wear; final inspection required

SKU A1-MD-0029 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
St. John's Bay purple embroidered crinkle cotton peasant blouse Size L,A1-MD-0030,St. John's Bay,L,"Deep purple / plum with pink, white, and yellow embroidery",Pre-owned,Peasant Blouse,Women's Tops,9,1,"St. John's Bay purple embroidered crinkle cotton peasant blouse Size L

Brand: St. John's Bay
Department: Women's Tops
Category: Peasant Blouse
Size: L
Color: Deep purple / plum with pink, white, and yellow embroidery
Pattern: Floral embroidery
Condition: Good pre-owned; final inspection required

SKU A1-MD-0030 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Adidas AEROREADY charcoal gray 3-Stripes short-sleeve athletic shirt Size M,A1-MD-0032,Adidas,M,Heather charcoal gray with white stripes and black logo,Pre-owned,Athletic T-Shirt,Men's Tops,13,1,"Adidas AEROREADY charcoal gray 3-Stripes short-sleeve athletic shirt Size M

Brand: Adidas
Department: Men's Tops
Category: Athletic T-Shirt
Size: M
Color: Heather charcoal gray with white stripes and black logo
Pattern: Heathered solid with 3-Stripes
Condition: Good pre-owned; final inspection required

SKU A1-MD-0032 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Royal blue solid short-sleeve polo shirt,A2-MD-0034,,,Royal blue / cobalt blue,Pre-owned,Polo Shirt,Not Confirmed,8,1,"Royal blue solid short-sleeve polo shirt

Brand: See photos — brand tag verification pending
Department: Not Confirmed
Category: Polo Shirt
Size: See measurements in photos
Color: Royal blue / cobalt blue
Pattern: Solid
Condition: Pre-owned; final inspection required

SKU A2-MD-0034 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Needs Review,Poshmark / eBay
Lands' End black elastic-waist straight-leg casual pants Size 42 Regular,A2-MD-0035,Lands' End,42 Regular,Black,Pre-owned,Casual Pants / Chinos,Men's Bottoms,18,1,"Lands' End black elastic-waist straight-leg casual pants Size 42 Regular

Brand: Lands' End
Department: Men's Bottoms
Category: Casual Pants / Chinos
Size: 42 Regular
Color: Black
Pattern: Solid
Condition: Good pre-owned; final inspection required

SKU A2-MD-0035 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
St. John's Bay pale yellow interlock polo with navy stripe trim Size S/P,A2-MD-0036,St. John's Bay,S/P,Pale yellow / butter yellow,Pre-owned,Polo Shirt,Men's Tops,8,1,"St. John's Bay pale yellow interlock polo with navy stripe trim Size S/P

Brand: St. John's Bay
Department: Men's Tops
Category: Polo Shirt
Size: S/P
Color: Pale yellow / butter yellow
Pattern: Solid with striped trim
Condition: Pre-owned; needs final inspection

SKU A2-MD-0036 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Brooks Brothers 346 olive green cotton chino pants Size W40/L30,A2-MD-0037,Brooks Brothers 346,W40/L30,Olive green,Pre-owned,Chino Pants / Casual Pants,Men's Bottoms,22,1,"Brooks Brothers 346 olive green cotton chino pants Size W40/L30

Brand: Brooks Brothers 346
Department: Men's Bottoms
Category: Chino Pants / Casual Pants
Size: W40/L30
Color: Olive green
Pattern: Solid
Condition: Good pre-owned; final inspection required

SKU A2-MD-0037 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Columbia Sportswear Company Columbia KM5080 black burgundy colorblock nylon,A2-MD-0038,Columbia Sportswear Company,Men's M,Black / burgundy / maroon,Pre-owned,Windbreaker Jacket / Lightweight Outerwear,Men's Tops,28,1,"Columbia Sportswear Company Columbia KM5080 black burgundy colorblock nylon

Brand: Columbia Sportswear Company
Department: Men's Tops
Category: Windbreaker Jacket / Lightweight Outerwear
Size: Men's M
Color: Black / burgundy / maroon
Pattern: Colorblock
Condition: Good pre-owned; final inspection required

SKU A2-MD-0038 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Space Exploration Technologies Corp. label SpaceX lavender-gray organic cotton,A2-MD-0039,Space Exploration Technologies Corp. label,L,Lavender-gray / light purple,Pre-owned,Full-Zip Hoodie / Sweatshirt,Not Confirmed,35,1,"Space Exploration Technologies Corp. label SpaceX lavender-gray organic cotton

Brand: Space Exploration Technologies Corp. label
Department: Not Confirmed
Category: Full-Zip Hoodie / Sweatshirt
Size: L
Color: Lavender-gray / light purple
Pattern: Solid
Condition: Pre-owned; needs final inspection and authenticity review

SKU A2-MD-0039 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Needs Review,Poshmark / eBay
American Eagle Outfitters American Eagle white stretch five-pocket jeans Size,A2-MD-0040,American Eagle Outfitters,Approx. 31x27.5,White / ivory,Pre-owned,Women's Jeans / Denim Pants,Women's Bottoms,16,1,"American Eagle Outfitters American Eagle white stretch five-pocket jeans Size

Brand: American Eagle Outfitters
Department: Women's Bottoms
Category: Women's Jeans / Denim Pants
Size: Approx. 31x27.5
Color: White / ivory
Pattern: Solid
Condition: Fair pre-owned; visible marks and wear

SKU A2-MD-0040 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Mondetta Performance + Luxury black straight-leg stretch pants Size M,A2-MD-0042,Mondetta,M,Black / charcoal,Pre-owned,Women's Active Pants / Pull-On Straight-Leg Pants,Women's Bottoms,16,1,"Mondetta Performance + Luxury black straight-leg stretch pants Size M

Brand: Mondetta
Department: Women's Bottoms
Category: Women's Active Pants / Pull-On Straight-Leg Pants
Size: M
Color: Black / charcoal
Pattern: Solid
Condition: Pre-owned; final inspection required

SKU A2-MD-0042 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Needs Review,Poshmark / eBay
Nike Sphere charcoal gray textured mesh V-neck performance shirt Size M,A2-MD-0043,Nike Sphere,M,Charcoal gray / dark gray,Pre-owned,Athletic Performance T-Shirt,Men's Tops,20,1,"Nike Sphere charcoal gray textured mesh V-neck performance shirt Size M

Brand: Nike Sphere
Department: Men's Tops
Category: Athletic Performance T-Shirt
Size: M
Color: Charcoal gray / dark gray
Pattern: Solid textured mesh
Condition: Good pre-owned; final inspection required

SKU A2-MD-0043 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted,Poshmark / eBay
Levi's faded black denim trucker jacket Size Approx. 18x19,A2-MD-0044,Levi's,Approx. 18x19,Faded black / charcoal gray,Pre-owned,Denim Trucker Jacket / Jean Jacket,Other,29.95,1,"Levi's faded black denim trucker jacket Size Approx. 18x19

Brand: Levi's
Department: Other
Category: Denim Trucker Jacket / Jean Jacket
Size: Approx. 18x19
Color: Faded black / charcoal gray
Pattern: Solid
Condition: Good pre-owned; visible fading and final inspection required

SKU A2-MD-0044 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Needs Review,Poshmark / eBay
Lauren Ralph Lauren navy double-breasted gold-button blazer Size 20W,A2-MD-0045,Lauren Ralph Lauren,20W,Navy blue,Pre-owned,Women's Blazer / Sport Coat,Other,30,1,"Lauren Ralph Lauren navy double-breasted gold-button blazer Size 20W

Brand: Lauren Ralph Lauren
Department: Other
Category: Women's Blazer / Sport Coat
Size: 20W
Color: Navy blue
Pattern: Solid
Condition: Pre-owned; needs lint removal and final inspection

SKU A2-MD-0045 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Needs Review,Poshmark / eBay
Brooks Brothers orange cotton quarter-zip pullover with striped trim Size S,A2-MD-0046,Brooks Brothers,S,Burnt orange / coral with navy and teal accents,Pre-owned,Quarter-Zip Pullover / Sweatshirt,Men's Tops,28,1,"Brooks Brothers orange cotton quarter-zip pullover with striped trim Size S

Brand: Brooks Brothers
Department: Men's Tops
Category: Quarter-Zip Pullover / Sweatshirt
Size: S
Color: Burnt orange / coral with navy and teal accents
Pattern: Solid with striped trim
Condition: Good pre-owned; final inspection required

SKU A2-MD-0046 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Poshmark Listed / eBay Pending,Poshmark
KUT from the Kloth Catherine Boyfriend dark green velveteen pants Size 14,A2-MD-0047,KUT from the Kloth,14,Very dark green / black-green,Pre-owned,Women's Boyfriend Pants / Velveteen Jeans,Women's Bottoms,24,1,"KUT from the Kloth Catherine Boyfriend dark green velveteen pants Size 14

Brand: KUT from the Kloth
Department: Women's Bottoms
Category: Women's Boyfriend Pants / Velveteen Jeans
Size: 14
Color: Very dark green / black-green
Pattern: Solid
Condition: Good pre-owned; final inspection required

SKU A2-MD-0047 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Needs Review,Poshmark / eBay
Nautica white sailing windbreaker jacket with black stripe Size XL,A2-MD-0048,Nautica,XL,White / ivory with black accents,Pre-owned,Men's Windbreaker Jacket / Lightweight Outerwear,Men's Tops,34,1,"Nautica white sailing windbreaker jacket with black stripe Size XL

Brand: Nautica
Department: Men's Tops
Category: Men's Windbreaker Jacket / Lightweight Outerwear
Size: XL
Color: White / ivory with black accents
Pattern: Colorblock / striped
Condition: Pre-owned; cleaning and final inspection required

SKU A2-MD-0048 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Poshmark Listed / eBay Pending,Poshmark
Fabletics men's black utility performance jogger pants Size L,A2-MD-0050,Fabletics,L,Black with turquoise accents,Pre-owned,Men's Athletic Jogger / Utility Cargo Pants,Men's Bottoms,23,1,"Fabletics men's black utility performance jogger pants Size L

Brand: Fabletics
Department: Men's Bottoms
Category: Men's Athletic Jogger / Utility Cargo Pants
Size: L
Color: Black with turquoise accents
Pattern: Solid
Condition: Good pre-owned; final inspection required

SKU A2-MD-0050 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Poshmark Listed / eBay Pending,Poshmark
Wrangler Western Shirts teal navy plaid long-sleeve button-up shirt Size M/M,A4-MD-0051,Wrangler Western Shirts,M/M,"Teal, navy, white and gray",Pre-owned,Men's Plaid Button-Up Shirt,Men's Tops,13,1,"Wrangler Western Shirts teal navy plaid long-sleeve button-up shirt Size M/M

Brand: Wrangler Western Shirts
Department: Men's Tops
Category: Men's Plaid Button-Up Shirt
Size: M/M
Color: Teal, navy, white and gray
Pattern: Plaid
Condition: Pre-owned; final inspection required

SKU A4-MD-0051 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Woolrich Rugged Outdoorwear burgundy cotton button-up shirt Size XL,A4-MD-0052,Woolrich Rugged Outdoorwear,XL,Burgundy / faded red,Pre-owned,Men's Cotton Button-Up Shirt,Men's Tops,24,1,"Woolrich Rugged Outdoorwear burgundy cotton button-up shirt Size XL

Brand: Woolrich Rugged Outdoorwear
Department: Men's Tops
Category: Men's Cotton Button-Up Shirt
Size: XL
Color: Burgundy / faded red
Pattern: Solid
Condition: Pre-owned; visible fading and possible lower-front flaw

SKU A4-MD-0052 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Field & Stream 1871 plaid lined shirt jacket,A4-MD-0053,Field & Stream 1871,,"Cream, gray and dark navy/blue",Pre-owned,Plaid Lined Shirt Jacket,Men's Tops,15,1,"Field & Stream 1871 plaid lined shirt jacket

Brand: Field & Stream 1871
Department: Men's Tops
Category: Plaid Lined Shirt Jacket
Size: See measurements in photos
Color: Cream, gray and dark navy/blue
Pattern: Plaid
Condition: Pre-owned; light wear visible; final inspection required

SKU A4-MD-0053 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Brooks Brothers 346 slim-fit non-iron cotton plaid shirt,A4-MD-0054,Brooks Brothers 346,,Light gray / white plaid,Pre-owned,Plaid Button-Up Shirt,Not Confirmed,22,1,"Brooks Brothers 346 slim-fit non-iron cotton plaid shirt

Brand: Brooks Brothers 346
Department: Not Confirmed
Category: Plaid Button-Up Shirt
Size: See measurements in photos
Color: Light gray / white plaid
Pattern: Plaid
Condition: Pre-owned; see photos

SKU A4-MD-0054 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
